,Time,Dev (cm),Type,Depth (cm),Length (cm),Width (cm),Severity,Conf.,Strength,Baseline
0,13:21:03,+9.3,🔴 Deep Pothole,9.3,116.7,93.4,🔶 Moderate,rule,3266,311
1,13:20:59,+18.6,🔴 Deep Pothole,18.6,66.7,53.4,🔴 Deep/Dangerous,rule,3661,301
2,13:20:55,+27.9,🔴 Deep Pothole,27.9,16.7,13.4,🔴 Deep/Dangerous,rule,4019,292
3,13:20:48,+24.8,🔴 Deep Pothole,24.8,116.7,93.4,🔴 Deep/Dangerous,rule,4178,264
4,13:20:44,+47.2,🔴 Deep Pothole,47.2,66.7,53.4,🔴 Deep/Dangerous,rule,6323,242
5,13:20:40,+54.9,🔴 Deep Pothole,54.9,16.7,13.4,🔴 Deep/Dangerous,rule,8202,220
6,13:20:33,-18.4,🔶 Speed Bump,0,0,0,— Noise,rule,8719,232
7,13:20:29,-55.4,🔶 Speed Bump,6.6,16.7,13.4,⚠️ Shallow,rule,8106,269
8,13:20:25,-92.3,🔶 Speed Bump,30.7,50,40,🔴 Deep/Dangerous,rule,5243,306
9,13:20:21,+13.2,🔴 Deep Pothole,13.2,100,80,🔶 Moderate,rule,2993,324
10,13:20:17,+33.4,🔴 Deep Pothole,34.4,83.3,66.6,🔴 Deep/Dangerous,rule,3198,304
11,13:20:13,+53.2,🔴 Deep Pothole,54.2,33.3,26.6,🔴 Deep/Dangerous,rule,3755,284
12,13:20:10,-5.2,🔶 Speed Bump,0,0,0,— Noise,rule,4177,275
13,13:20:06,-11.1,🔶 Speed Bump,18.9,8.3,6.6,🔴 Deep/Dangerous,rule,4198,281
14,13:20:02,-18.0,🔶 Speed Bump,12,25,20,🔶 Moderate,rule,4045,288
15,13:19:58,-10.4,🔶 Speed Bump,0,0,0,— Noise,rule,3947,310
16,13:19:54,-38.1,🔶 Speed Bump,24.9,33.3,26.6,🔴 Deep/Dangerous,rule,3602,327
17,13:19:50,-52.6,🔶 Speed Bump,8.4,75,60,🔶 Moderate,rule,2975,344
